dt	pCa	dhsl	Mode
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
0.000486	8.0000	0	-2
